gene,h_statistic,p_value,fdr
gene_3475,324.1582163961681,6.642567948445561e-69,3.749842727122214e-68
gene_15515,324.1423029379134,6.69530520610942e-69,3.778558933093457e-68
gene_9183,324.01536762440685,7.131238657081039e-69,4.02345917647421e-68
gene_19792,324.00314043997514,7.174700586090902e-69,4.0468513403443275e-68
gene_795,324.0014513080091,7.180725447744407e-69,4.0491201695158855e-68
gene_1078,323.9224361742248,7.46828640664698e-69,4.210098116219922e-68
gene_2319,323.89430906871377,7.573405431640173e-69,4.268166979743476e-68
gene_18980,323.8676321008505,7.674471629296372e-69,4.32392005617169e-68
gene_13441,323.8407905089121,7.777522719552579e-69,4.380760081116232e-68
gene_16336,323.8030841251875,7.924627661414908e-69,4.462375269882229e-68
gene_3300,323.7686990316446,8.061199264550021e-69,4.538015320948385e-68
gene_6199,323.7405383177565,8.174799961106325e-69,4.600685499959115e-68
gene_13421,323.73794989915103,8.185321669321467e-69,4.605325249731479e-68
gene_18247,323.6896571042601,8.384130055303286e-69,4.71586909174653e-68
gene_10703,323.6822077407928,8.415224018923051e-69,4.732042405079061e-68
gene_593,323.6621528299888,8.499508378640104e-69,4.778108393785976e-68
gene_8573,323.6436856107057,8.577866521149464e-69,4.820818202450342e-68
gene_14034,323.5748712095513,8.876266998165029e-69,4.9871351756014184e-68
gene_6536,323.45706923174384,9.411385515108462e-69,5.286322958361339e-68
gene_532,323.4420984810822,9.481661422624743e-69,5.324317568089279e-68
gene_14390,323.395345576032,9.704525654241029e-69,5.44795150623009e-68
gene_11412,323.3911591783835,9.724735314966932e-69,5.457781648735674e-68
gene_19143,323.38343733399955,9.762122666647787e-69,5.4772442409069065e-68
gene_1520,323.36155135348736,9.868872274225064e-69,5.53560239270749e-68
gene_8329,323.34618232897395,9.944532109348589e-69,5.57649428128502e-68
gene_5587,323.33320897619933,1.0008849617829315e-68,5.611004938234726e-68
gene_373,323.3223943861215,1.006278249446778e-68,5.6396764085541286e-68
gene_18737,323.2622253834265,1.0368198124451446e-68,5.809236194916395e-68
gene_4094,323.24678244281404,1.0448069655642867e-68,5.8523661082203435e-68
gene_16509,323.2272076234226,1.0550196261877128e-68,5.9079346056886574e-68
gene_14989,323.1670664166595,1.0870254658061952e-68,6.085476728700741e-68
gene_13851,323.08828647824896,1.1304239055723575e-68,6.326681924876458e-68
gene_19391,323.08267856523497,1.1335784579338235e-68,6.3408271086804545e-68
gene_10972,323.0828069749766,1.1335061267537937e-68,6.3408271086804545e-68
gene_15114,323.0709400617161,1.1402101047086831e-68,6.3761583316687726e-68
gene_14461,323.0639507419098,1.144177120478652e-68,6.396573279844851e-68
gene_20418,323.0381905970694,1.1589176734730345e-68,6.4771902364008375e-68
gene_2354,322.9345354617379,1.2201760417573537e-68,6.817678845088546e-68
gene_12812,322.9096603470077,1.2353522413203383e-68,6.900568417607338e-68
gene_4709,322.8557839546975,1.2688722423993123e-68,7.085850763202566e-68
gene_8255,322.8023792727336,1.3029962762051856e-68,7.2744030097032184e-68
gene_2711,322.77978235336064,1.3177099271766187e-68,7.354516267578914e-68
gene_6433,322.76486771037384,1.3275122797439132e-68,7.407181514542403e-68
gene_16256,322.6988194946339,1.371805066145115e-68,7.652212480695275e-68
gene_8459,322.69152464970244,1.3767868226300326e-68,7.677883712190262e-68
gene_13300,322.6552905281955,1.4018010215943105e-68,7.815224278372911e-68
gene_4958,322.64787352665076,1.4069771089459076e-68,7.841919547958985e-68
gene_8091,322.63512367886375,1.4159195219349008e-68,7.8895862918285e-68
gene_12947,322.6193717947644,1.4270460064102451e-68,7.949393194386106e-68
gene_1350,322.559290190167,1.470293851592986e-68,8.188050667326293e-68
gene_4704,322.5293812454611,1.492309015793513e-68,8.308364704945106e-68
gene_17320,322.50748001550915,1.508638701542901e-68,8.396967570575007e-68
gene_5388,322.50482269874647,1.5106321288943053e-68,8.40574911347599e-68
gene_8392,322.4919198280516,1.5203489250492357e-68,8.457489852385308e-68
gene_18226,322.48802098737923,1.523297311918098e-68,8.471560765757938e-68
gene_8696,322.4847399738637,1.5257829144817294e-68,8.483050952360475e-68
gene_10655,322.4130352241098,1.5811288199926774e-68,8.788346857908723e-68
gene_2998,322.3634799771403,1.6205472376698895e-68,9.004969962331091e-68
gene_20130,322.257684391809,1.7080211343291495e-68,9.488432790458717e-68
gene_4925,322.244569125789,1.7191889762103e-68,9.547849570982828e-68
gene_17922,322.1991009732678,1.7584741848907514e-68,9.763346099032368e-68
gene_8844,322.13982927316556,1.8110368036497175e-68,1.005242251073317e-67
gene_16062,322.1280169571264,1.821698333578534e-68,1.0108826016271004e-67
gene_462,322.112824466862,1.835503055172325e-68,1.0182635741739255e-67
gene_17809,322.10456184591294,1.8430547874293426e-68,1.0221725413222364e-67
gene_5565,322.08607100875633,1.860067487058852e-68,1.0313250522571169e-67
gene_18837,322.07694105973314,1.8685254178118425e-68,1.0357306050869865e-67
gene_7305,322.04264234148286,1.9006445996150416e-68,1.0532456686438958e-67
gene_11374,322.0216234809882,1.92060003461602e-68,1.064012419177275e-67
gene_5428,321.93817216045176,2.0019180254511893e-68,1.1087588165611749e-67
gene_3275,321.93668614876094,2.003396824683122e-68,1.1092740194939051e-67
gene_8303,321.9234248221329,2.0166422516590832e-68,1.1163022986804906e-67
gene_19255,321.92142176064726,2.018650509712281e-68,1.117108154266339e-67
gene_445,321.9187435522821,2.0213387910533577e-68,1.1182897864265375e-67
gene_3468,321.87660127756226,2.064114017739066e-68,1.141642493235822e-67
gene_5791,321.8365301158742,2.1056262669777683e-68,1.1642840783308028e-67
gene_9704,321.80650807568236,2.13727412834541e-68,1.1814603649336393e-67
gene_8610,321.77207272721444,2.1741604030428547e-68,1.2015222057920077e-67
gene_6985,321.65744468683897,2.3015952894676254e-68,1.2715999548722638e-67
gene_1412,321.54397540571244,2.4350967315316685e-68,1.344990194162848e-67
gene_8984,321.48477431761194,2.5077953776510103e-68,1.38476598392903e-67
gene_17292,321.3721506685473,2.6521420599759573e-68,1.4640721975095232e-67
gene_14914,321.3637514220028,2.6632343014975343e-68,1.4697942360966605e-67
gene_19543,321.3619128770747,2.6656685088582292e-68,1.470736232404427e-67
gene_469,321.33935067146103,2.6957223458035876e-68,1.486912208251346e-67
gene_6271,321.2445510009044,2.825747137757054e-68,1.558206514114682e-67
gene_1678,321.22988356954113,2.8464173751823083e-68,1.5691768196172697e-67
gene_16304,321.17825393860215,2.9203872125069114e-68,1.6095162121586876e-67
gene_17373,321.13223079071713,2.9879435366178894e-68,1.6462998979278024e-67
gene_11848,321.130336630684,2.9907571671480745e-68,1.6474012715037105e-67
gene_13530,321.106864582312,3.0258437266190088e-68,1.6662741284303643e-67
gene_614,321.1031819091112,3.0313859049594315e-68,1.6688716140534894e-67
gene_15992,321.0543132946782,3.1058982263443414e-68,1.7094275458603407e-67
gene_14627,321.0414600976202,3.125798494051649e-68,1.7194442695380413e-67
gene_16299,321.0416151380489,3.125557690952833e-68,1.7194442695380413e-67
gene_14907,321.0079826681257,3.17823129663951e-68,1.747811124540319e-67
gene_12763,320.9249831393957,3.312050947961346e-68,1.820907618779945e-67
gene_1481,320.87480701618443,3.3956672769173706e-68,1.866370970550317e-67
gene_777,320.8720960867772,3.400244555413026e-68,1.8683789444295324e-67
gene_3700,320.8569600514461,3.4259146745067922e-68,1.8819728506710636e-67
gene_5571,320.84744166430033,3.4421566417999835e-68,1.8903815712612022e-67
gene_17253,320.7531084663343,3.607346897600232e-68,1.980563714807882e-67
gene_15505,320.7496163418873,3.6136119528806557e-68,1.98346491040173e-67
gene_9057,320.7446200682286,3.622594455233723e-68,1.9878556982165837e-67
gene_4156,320.7346224458371,3.6406356783262412e-68,1.9972136204947076e-67
gene_836,320.713013655461,3.679937399240688e-68,2.018226583944832e-67
gene_16556,320.69514699408006,3.712753208771633e-68,2.0356719803300212e-67
gene_20194,320.67917023328255,3.742345578889355e-68,2.051341012489066e-67
gene_19471,320.67838826609517,3.743799988102543e-68,2.0515821018813424e-67
gene_2523,320.66707578567343,3.764903826129598e-68,2.062587923819198e-67
gene_17033,320.6089908450975,3.875151488070482e-68,2.1224116533118424e-67
gene_4900,320.5846032881051,3.922396961069327e-68,2.1477061724826117e-67
gene_8863,320.5316027601075,4.027069287553325e-68,2.204422524732425e-67
gene_11301,320.4336095724643,4.228010747790794e-68,2.313791754562318e-67
gene_6151,320.39823337323014,4.302989386962782e-68,2.354186915415974e-67
gene_20179,320.39128038609573,4.31788161161689e-68,2.3616955387748207e-67
gene_7004,320.38040880078375,4.34127022856287e-68,2.3738460057266036e-67
gene_14617,320.3661875614859,4.372056485816624e-68,2.3900339064530398e-67
gene_5875,320.3195523787163,4.474552764376969e-68,2.445403552661262e-67
gene_10976,320.30865976342045,4.498836997743371e-68,2.458010887094534e-67
gene_18789,320.26169506187443,4.605059291794158e-68,2.5153674754016657e-67
gene_18242,320.2503521094336,4.6310879680589925e-68,2.5285383170394078e-67
gene_2255,320.25009790351953,4.631672976763744e-68,2.5285383170394078e-67
gene_1434,320.24472694500855,4.644050550855332e-68,2.5346112331672245e-67
gene_6259,320.23948585462676,4.656160724569766e-68,2.5405349706293917e-67
gene_6036,320.16591809510714,4.8295185417815295e-68,2.6344131220222364e-67
gene_7347,320.0949278150236,5.002919012059718e-68,2.7282638981353712e-67
gene_19398,320.0832912266303,5.031930512701431e-68,2.7433450228453933e-67
gene_2542,320.0782506124615,5.04454956893185e-68,2.7494834725975995e-67
gene_8688,320.04000450541207,5.141334446694572e-68,2.8014800282029358e-67
gene_2284,319.9568614248483,5.3581887406308464e-68,2.9188559947278108e-67
gene_16425,319.86174631204943,5.617507617318641e-68,3.0592949509776526e-67
gene_13246,319.8606938889061,5.620446014919805e-68,3.0600710519034295e-67
gene_5047,319.82283971169863,5.727164142062252e-68,3.1173347541491464e-67
gene_129,319.77580047392183,5.8626043740437125e-68,3.190197068017705e-67
gene_10003,319.759733062508,5.909597405426e-68,3.214903662499842e-67
gene_2819,319.7364262144804,5.978434198816128e-68,3.2514770826858774e-67
gene_8662,319.7195330252986,6.028828907964343e-68,3.278003478030304e-67
gene_7998,319.65437159902325,6.227225773725354e-68,3.384965923938182e-67
gene_3509,319.63357232093193,6.291917706052791e-68,3.4192117155090967e-67
gene_14651,319.6291212451133,6.305848933358059e-68,3.425861667958982e-67
gene_6441,319.6042261980317,6.384337481544945e-68,3.467571534094019e-67
gene_8028,319.58436979201167,6.447640060477928e-68,3.501013148843292e-67
gene_15594,319.5556181135881,6.540414944609673e-68,3.550435720669858e-67
gene_14322,319.510173089438,6.6897853208962365e-68,3.630546134563682e-67
gene_9851,319.3826036255989,7.1275649560870245e-68,3.867091252402354e-67
gene_14858,319.37444646790857,7.156513007926826e-68,3.8817556205281206e-67
gene_7912,319.3643688327113,7.192438828182736e-68,3.900195911630011e-67
gene_11378,319.36089365905127,7.2048692662526e-68,3.905889046458279e-67
gene_19640,319.2749224094091,7.51931580929052e-68,4.0752636017063414e-67
gene_16012,319.26274874134697,7.564937553764932e-68,4.098890736191873e-67
gene_5707,319.2395567256176,7.652618735755541e-68,4.145288064712371e-67
gene_11776,319.2118889305028,7.758551646449515e-68,4.201544532481404e-67
gene_6929,319.2070144061395,7.777366306982798e-68,4.2106057320883306e-67
gene_15386,319.1879757086999,7.851289882437696e-68,4.2494896336395244e-67
gene_14872,319.1776805014865,7.89155644999428e-68,4.2701408342342606e-67
gene_6964,319.09944400495215,8.204378786690276e-68,4.4382221360530785e-67
gene_3317,319.0784486534071,8.290417236125486e-68,4.483518912445665e-67
gene_3751,319.0779315367441,8.292547714033325e-68,4.483518912445665e-67
gene_18656,319.06799574317165,8.333588843022347e-68,4.5045041431369923e-67
gene_10975,319.0664600786404,8.339950208578746e-68,4.5067379253786966e-67
gene_7944,319.06480592619107,8.346807832945604e-68,4.509002349565046e-67
gene_15879,319.0643737672247,8.348600364359594e-68,4.509002349565046e-67
gene_760,319.04741875521404,8.419231889997624e-68,4.545935595397649e-67
gene_4495,319.014203610775,8.559336776810511e-68,4.6203510134512905e-67
gene_1511,318.9194657420626,8.97189109368138e-68,4.8417563332087314e-67
gene_5337,318.90024819992163,9.05797300271895e-68,4.8869069393804664e-67
gene_18751,318.8451488525681,9.309387700227857e-68,5.0212090873915046e-67
gene_17911,318.84239675134756,9.322126743894534e-68,5.0267393303544366e-67
gene_5258,318.8155987504624,9.447085366888474e-68,5.092762282160806e-67
gene_15146,318.8088479680214,9.478827390055243e-68,5.108511957737395e-67
gene_14515,318.7786779507436,9.621994543641791e-68,5.184288613561968e-67
gene_11936,318.773445356069,9.647044135675588e-68,5.1964006251330863e-67
gene_6098,318.76330283343765,9.695784496912882e-68,5.221263869828905e-67
gene_1111,318.76042125201053,9.709676933847694e-68,5.2273529627085785e-67
gene_8362,318.75921760234917,9.715485759884836e-68,5.2290880370144074e-67
gene_2695,318.7562795027386,9.72967965799539e-68,5.2353340171454164e-67
gene_9528,318.7258392336835,9.877961859968139e-68,5.313707549093263e-67
gene_4986,318.7016734460784,9.99728688603403e-68,5.376466439428035e-67
gene_5861,318.6850531742298,1.008018942526106e-67,5.4196094221803745e-67
gene_20036,318.6223753484437,1.0399060844508734e-67,5.589564309856755e-67
gene_18052,318.58149075230085,1.0612475809966003e-67,5.702760386747875e-67
gene_15069,318.52467634838,1.0916334391485298e-67,5.8644845305585603e-67
gene_9012,318.52282724585496,1.0926368734844238e-67,5.8683161271523334e-67
gene_19121,318.5183551756374,1.0950675023849169e-67,5.879808806618535e-67
gene_7002,318.4666447846357,1.1235685845666588e-67,6.031239805819593e-67
gene_20227,318.45840897087754,1.1281758804891454e-67,6.054364246117572e-67
gene_9522,318.4161313896823,1.1521259832852723e-67,6.181252191035153e-67
gene_14346,318.3822326510266,1.1716962492114699e-67,6.284580863476163e-67
gene_19639,318.3638367940498,1.1824552450239308e-67,6.34060660557648e-67
gene_6157,318.3630930603337,1.1828922965843708e-67,6.341268592055292e-67
gene_18065,318.3517887644327,1.1895551333119952e-67,6.375296673920449e-67
gene_5743,318.3436822091862,1.1943562912180076e-67,6.399331893142377e-67
gene_19590,318.2943364791246,1.2240024491304173e-67,6.556438019567197e-67
gene_7891,318.26937013400953,1.2392810417186871e-67,6.636520642106349e-67
gene_7114,318.2673249233659,1.2405410632682882e-67,6.641509356724399e-67
gene_2505,318.26346076878053,1.2429252048257e-67,6.652512061085357e-67
gene_12007,318.2350292621177,1.2606085891712425e-67,6.745373453726301e-67
gene_18840,318.22941467541995,1.2641302952795444e-67,6.762428227737478e-67
gene_8119,318.21635887473036,1.2723575287516527e-67,6.804639404625012e-67
gene_11940,318.170307057479,1.3018073720108835e-67,6.960297955957714e-67
gene_17270,318.14279170824193,1.3197275532919532e-67,7.054245533998569e-67
gene_3064,318.1398787951839,1.3216390540997521e-67,7.062596012936335e-67
gene_6339,318.1112548967534,1.3405704181709818e-67,7.161869068912925e-67
gene_2614,318.0287829474264,1.3966458139206974e-67,7.459475700816277e-67
gene_19763,317.99849324581,1.4178245846853662e-67,7.570591741991759e-67
gene_2135,317.98782802706637,1.4253579770867355e-67,7.608807722985976e-67
gene_4472,317.9701368582014,1.4379425253849891e-67,7.673960360467106e-67
gene_6842,317.8877108227528,1.4980566016562784e-67,7.992665578388285e-67
gene_19358,317.76212370397815,1.5945149030976608e-67,8.505060895683935e-67
gene_7673,317.75005292308106,1.604106966353238e-67,8.553968081916884e-67
gene_18930,317.7397284750165,1.6123570730058558e-67,8.595695326457002e-67
gene_18426,317.6491703364836,1.6865633426751348e-67,8.988929191416422e-67
gene_13460,317.6365307131532,1.6971887439251655e-67,9.043176176788081e-67
gene_8165,317.6271807470584,1.705091769311334e-67,9.082892694216144e-67
gene_994,317.6249745240222,1.7069619311208485e-67,9.090460155173737e-67
gene_12057,317.5893287126693,1.7374638935171676e-67,9.250462714800064e-67
gene_1203,317.53172967407914,1.7879072329936597e-67,9.516523337290021e-67
gene_15880,317.5311167268205,1.7884518326511577e-67,9.516916975799754e-67
gene_20079,317.5044729433642,1.8122856739532306e-67,9.641207212051637e-67
gene_13624,317.461535575349,1.8513648789980165e-67,9.846514786485769e-67
gene_11449,317.4598793789485,1.8528890198294593e-67,9.852029679193136e-67
gene_13306,317.4482274575082,1.863647408028802e-67,9.906628348514828e-67
gene_9693,317.4226752918376,1.8874592845007132e-67,1.0030568775792095e-66
gene_10801,317.37598842195894,1.93175495889855e-67,1.0263272996292059e-66
gene_10869,317.19732518266943,2.111082701368963e-67,1.121308203424791e-66
gene_12332,317.19557234823554,2.112922098674618e-67,1.1219904873240403e-66
gene_14647,317.1378653330164,2.1743821879699677e-67,1.1543235028338334e-66
gene_3691,317.12838416661725,2.1846495938841107e-67,1.1594698015204883e-66
gene_19919,317.05650278139,2.2640853788878337e-67,1.2013138401073442e-66
gene_16021,317.02025020981085,2.305237080839272e-67,1.222827885929982e-66
gene_585,317.01406761118733,2.3123294708601327e-67,1.2262684036260881e-66
gene_5107,316.9242855458457,2.417816843806176e-67,1.2818740010121835e-66
gene_2520,316.9196517220347,2.4233899957113333e-67,1.284491981737323e-66
gene_7920,316.8744292682307,2.478458520365681e-67,1.313336209127737e-66
gene_6156,316.8704233601149,2.48339653537268e-67,1.315608104316766e-66
gene_4465,316.86677505818534,2.4879022946179787e-67,1.317649876885022e-66
gene_17848,316.85668920316925,2.5004012028825017e-67,1.3239228259619553e-66
gene_18126,316.84582336775554,2.513936973855496e-67,1.3307413494327745e-66
gene_1717,316.83995823211023,2.5212737055592456e-67,1.3342757288697594e-66
gene_18024,316.83441850437,2.528223043514243e-67,1.3376033009655023e-66
gene_5998,316.8313694819408,2.5320560730014255e-67,1.339280822708915e-66
gene_12927,316.81614029109187,2.5512883793889784e-67,1.3491004790696792e-66
gene_17352,316.8151637322362,2.5525266065902922e-67,1.3494023663231974e-66
gene_15051,316.8048870052153,2.5655934685338546e-67,1.3559557116367765e-66
gene_9962,316.7434928537736,2.64506146927617e-67,1.3975904878555902e-66
gene_5787,316.72936291805627,2.6636968245489646e-67,1.407069317899807e-66
gene_5691,316.7188422516366,2.677657288410714e-67,1.4140743804897636e-66
gene_17334,316.7119631429605,2.686825100703067e-67,1.4185454402432562e-66
gene_11098,316.688919116823,2.7177652502551255e-67,1.4345061635449984e-66
gene_7295,316.6643627027929,2.751128229979343e-67,1.4517370547602373e-66
gene_4033,316.65678134457784,2.7615109643090153e-67,1.456835721609512e-66
gene_4072,316.65189599446234,2.7682222430101432e-67,1.4599953567007852e-66
gene_4678,316.6327725252336,2.7946504712615888e-67,1.4735496005053608e-66
gene_11657,316.62456531843736,2.8060698915838265e-67,1.4791850698049153e-66
gene_18975,316.6134874302005,2.821557577588843e-67,1.4869615787444358e-66
gene_18647,316.60470544035866,2.833896150188689e-67,1.493074884131461e-66
gene_16446,316.55554043421625,2.9039755398537053e-67,1.5295985775301323e-66
gene_6974,316.51666852995197,2.9606078239424755e-67,1.5590221564567916e-66
gene_13203,316.51536826651636,2.9625211410205427e-67,1.5596235353443477e-66
gene_15796,316.51029348124,2.970000444665154e-67,1.5631540601659052e-66
gene_6370,316.50047159179223,2.984529789023715e-67,1.5703923201625952e-66
gene_8066,316.4703456017963,3.029539456425086e-67,1.5936607010502516e-66
gene_5042,316.4660938916908,3.035946137006579e-67,1.596615522403382e-66
gene_19983,316.39626211921495,3.1431318420107985e-67,1.6525550956136338e-66
gene_10696,316.35193636174336,3.2131229894829027e-67,1.6889149979291336e-66
gene_18234,316.3190773824651,3.266011862063007e-67,1.7158229634392326e-66
gene_11121,316.3191326528063,3.265922173583242e-67,1.7158229634392326e-66
gene_2166,316.3073682776203,3.285068138703329e-67,1.7253860476031172e-66
gene_2978,316.2835347449658,3.324200791567102e-67,1.7454859570573454e-66
gene_3095,316.279405544567,3.331027811772607e-67,1.7486166506192597e-66
gene_877,316.26718023337577,3.3513228643966954e-67,1.758813901919688e-66
gene_17455,316.2368861121478,3.4021480934258766e-67,1.7850243019503023e-66
gene_1307,316.2160227398949,3.4375986096839004e-67,1.803156458791651e-66
gene_11520,316.1451239329164,3.5608515896352813e-67,1.867323132624871e-66
gene_13313,316.13350442719303,3.581468659480715e-67,1.8776478548965397e-66
gene_12333,316.12904399323645,3.5894146986118516e-67,1.8813259362527282e-66
gene_18524,316.1076082535061,3.627848016498413e-67,1.9009773190363934e-66
gene_19154,316.0908355774961,3.65820741369549e-67,1.9163889148273704e-66
gene_9104,316.0501679926133,3.7328767574959914e-67,1.9549987286538835e-66
gene_13226,316.043962638601,3.74440359740136e-67,1.9605278390226022e-66
gene_18112,316.02510356639334,3.779654444075798e-67,1.9784724958233682e-66
gene_4466,315.9534243678967,3.9166894694569456e-67,2.0496733375230046e-66
gene_1949,315.94023611067905,3.9424384312684785e-67,2.062614424804137e-66
gene_10907,315.9278511860597,3.966773052258765e-67,2.0748090504326044e-66
gene_14573,315.8955510262499,4.0309472979039356e-67,2.107829979594401e-66
gene_11863,315.87945393909786,4.063315702229965e-67,2.123780353370078e-66
gene_17122,315.87933746454553,4.063550856628669e-67,2.123780353370078e-66
gene_4004,315.8446077600691,4.134278298894851e-67,2.1601871183967127e-66
gene_5635,315.83178024813515,4.16071184348666e-67,2.1734372045245093e-66
gene_5836,315.82823061042535,4.1680563596935027e-67,2.1767114578864235e-66
gene_8653,315.8077022194234,4.2107864277793385e-67,2.19845887828882e-66
gene_3800,315.75985189951734,4.312095647498624e-67,2.2507714529703066e-66
gene_3271,315.7325560250233,4.370974787202772e-67,2.2809156431490904e-66
gene_5963,315.73016472660095,4.376171129420452e-67,2.2830380910219546e-66
gene_6649,315.7287983474944,4.379143073019086e-67,2.2839992798431504e-66
gene_6609,315.7048262237955,4.4316131963260674e-67,2.3107697380843068e-66
gene_286,315.6782629009786,4.4904895108912354e-67,2.3408659035764803e-66
gene_13551,315.6578302000534,4.5363092813704854e-67,2.364142009757541e-66
gene_18075,315.60552743167875,4.6557381387746605e-67,2.425758333011142e-66
gene_12906,315.4868072774639,4.9386236395153405e-67,2.572486053957746e-66
gene_2495,315.37436640464983,5.2223781966799496e-67,2.7195907678358297e-66
gene_16119,315.37364493984705,5.2242505415891576e-67,2.7198653501924395e-66
gene_20203,315.3532125595158,5.27755624960661e-67,2.7469102940359143e-66
gene_638,315.33548045668346,5.3242578657295686e-67,2.7705048456746684e-66
gene_9434,315.2963151999272,5.428878286936456e-67,2.824217850273786e-66
gene_9574,315.28254692547716,5.4661431668588814e-67,2.8428724531135146e-66
gene_177,315.2558733468177,5.539066564290949e-67,2.8800582411038133e-66
gene_12894,315.2380958805265,5.5882081649151254e-67,2.9048626555976544e-66
gene_13142,315.1646386870757,5.7959286287404306e-67,3.0120656078581406e-66
gene_8777,315.08926165010814,6.017106775510567e-67,3.1262054498355385e-66
gene_1758,315.0623472612173,6.098109792199783e-67,3.167476961419774e-66
gene_2187,315.05141717884777,6.131316072621779e-67,3.183907095646764e-66
gene_6324,314.985221029925,6.336323347004139e-67,3.2895197535242794e-66
gene_5392,314.95200041861295,6.441775397144836e-67,3.343407092034541e-66
gene_14687,314.9262028182675,6.524873649776114e-67,3.3856676949479805e-66
gene_3334,314.8812270862676,6.672319379987772e-67,3.4612870749803165e-66
gene_16371,314.86669975162386,6.720653213183892e-67,3.485466238106989e-66
gene_6761,314.85130823010604,6.772244306614548e-67,3.511321849334686e-66
gene_179,314.81638422652946,6.8907801867461e-67,3.57186532058941e-66
gene_4629,314.7226204919958,7.21938797027164e-67,3.7412415209344654e-66
gene_5762,314.68522054189634,7.354791933189302e-67,3.810434221906761e-66
gene_4176,314.66716239785956,7.421076388571736e-67,3.843790616119597e-66
gene_830,314.5996487852012,7.674227949802838e-67,3.973894068449762e-66
gene_8728,314.57860946301696,7.754868970925104e-67,4.0146237957264856e-66
gene_10852,314.56061702583656,7.824503495488322e-67,4.0496361705213557e-66
gene_8320,314.4967463190388,8.076784632899884e-67,4.179136695544231e-66
gene_20396,314.472973341145,8.172748165844586e-67,4.2277088938742226e-66
gene_17269,314.34167946354773,8.723645494332635e-67,4.511530320739136e-66
gene_1337,314.3244800492549,8.798511397186276e-67,4.549084606558519e-66
gene_10603,314.3193799358061,8.820834511110225e-67,4.559460497166663e-66
gene_11997,314.29363151655207,8.934402616478702e-67,4.6169832687916133e-66
gene_6415,314.28754402608547,8.961465611137797e-67,4.629785286735242e-66
gene_19319,314.2677762740159,9.049913150693291e-67,4.6742859213325426e-66
gene_18933,314.26217815990776,9.075119221346437e-67,4.686107910491478e-66
gene_2561,314.2535994773375,9.113881885641645e-67,4.7049222774970564e-66
gene_461,314.23058014518824,9.218714557732176e-67,4.757826112095517e-66
gene_5666,314.21909619501713,9.271463743616768e-67,4.783829251331325e-66
gene_1663,314.21251408909563,9.3018332648466e-67,4.798274756338344e-66
gene_11569,314.21118525116617,9.307976517281863e-67,4.800219157254694e-66
gene_11129,314.1840061791281,9.434519995347935e-67,4.864238368840657e-66
gene_7193,314.16691436501196,9.514977648682285e-67,4.904470125771208e-66
gene_14424,314.14345687258765,9.626519152665219e-67,4.960699382926692e-66
gene_3065,314.1332313436315,9.675550351097222e-67,4.984695634383106e-66
gene_3072,314.08347699832746,9.917708506601264e-67,5.108150374732149e-66
gene_889,314.07922267239746,9.938693771025717e-67,5.117655379269442e-66
gene_10591,314.0552768509506,1.0057642060742274e-66,5.177586051687106e-66
gene_3863,314.03872053655584,1.0140715128679724e-66,5.219022667778893e-66
gene_8011,313.97961335008256,1.0442928719387549e-66,5.37319240800854e-66
gene_9963,313.88947607914685,1.0921227840819455e-66,5.61786182063623e-66
gene_9145,313.8626087051486,1.1067988622157749e-66,5.691907373566934e-66
gene_16294,313.8482166267718,1.1147413609418726e-66,5.731295463922097e-66
gene_8633,313.81792696364397,1.131643886354147e-66,5.816718613616474e-66
gene_5390,313.7697654830067,1.1590486894287606e-66,5.956066975588047e-66
gene_11565,313.7604227179124,1.1644412615791368e-66,5.982257812599523e-66
gene_14404,313.74663450521706,1.1724455803103925e-66,6.021849651881241e-66
gene_4539,313.6899831186656,1.205914335261589e-66,6.192177189772623e-66
gene_3299,313.6894189388727,1.2062524037596487e-66,6.192340659158126e-66
gene_10328,313.6527690254752,1.2284180722987926e-66,6.304528385775098e-66
gene_13353,313.6364150352979,1.2384398540485184e-66,6.354349730706696e-66
gene_19176,313.5954919942812,1.263877358930043e-66,6.483222748585591e-66
gene_5845,313.5852755649121,1.2703089099866603e-66,6.51456162029933e-66
gene_4235,313.541355580035,1.2983327221548203e-66,6.656588735976831e-66
gene_4239,313.4744506980524,1.3422150966487972e-66,6.879830537220615e-66
gene_4524,313.4255479570702,1.3752254090352768e-66,7.047246070983865e-66
gene_15455,313.4128659217213,1.3839177998773652e-66,7.089992863268356e-66
gene_7655,313.38946890033185,1.4000987798806244e-66,7.17107331002181e-66
gene_4017,313.36603955924966,1.4164916875371764e-66,7.253197876345719e-66
gene_13219,313.3279278208076,1.4435685166923533e-66,7.38997442431293e-66
gene_13180,313.32075017324905,1.448725559830069e-66,7.414497480466673e-66
gene_2765,313.30643895849244,1.4590630247505632e-66,7.465514530233082e-66
gene_500,313.3039091894316,1.4608980175109282e-66,7.473012601084867e-66
gene_5758,313.209486582145,1.5310643092516944e-66,7.829957358972815e-66
gene_18512,313.17802543349706,1.5551840201900388e-66,7.951296099181485e-66
gene_14597,313.0870379322194,1.6270993708476726e-66,8.31687977196936e-66
gene_18180,313.08269210229923,1.6306162728755987e-66,8.332749975693071e-66
gene_7189,313.07275378814944,1.6386875376791364e-66,8.371879913948918e-66
gene_8478,313.06931408893024,1.6414903381078044e-66,8.384080860540013e-66
gene_17948,313.0488157374321,1.6582928767993525e-66,8.467762692363563e-66
gene_15676,313.0448673862758,1.6615490480811932e-66,8.482247740785107e-66
